filename,mean_R,mean_G,mean_B,var_R,var_G,var_B,mean_H,mean_S,mean_V,var_H,var_S,var_V,mean_L,mean_a,mean_b,var_L,var_a,var_b,mean_R_over_G,mean_G_over_B,mean_B_over_R,var_R_over_G,var_G_over_B,var_B_over_R
100_img_.png,0.08980114758014679,0.5287361741065979,0.6876603364944458,0.002652009017765522,0.033884286880493164,0.03672907501459122,0.5465181469917297,0.875930905342102,0.6876605153083801,0.00015957970754243433,0.0032169229816645384,0.03672909364104271,51.992156982421875,-14.206923484802246,-29.630311965942383,283.23199462890625,73.4765853881836,21.480541229248047,0.16217918694019318,0.7540019154548645,14722461696.0,0.004609063267707825,0.005432323087006807,6.391930803629274e+21
10139.png,0.2170390486717224,0.5878321528434753,0.6382637619972229,0.023664887994527817,0.012212621048092842,0.013316897675395012,0.5115634202957153,0.6752201318740845,0.6525201797485352,0.0008734548464417458,0.04237588122487068,0.010353393852710724,57.41426086425781,-21.413179397583008,-14.52804183959961,111.63433837890625,41.9090576171875,147.92787170410156,0.3426428437232971,0.9348457455635071,175142992.0,0.03774860128760338,0.02055271714925766,3.935201373931228e+19
10151.png,0.22542569041252136,0.4252335727214813,0.3769983947277069,0.02656599134206772,0.035176634788513184,0.04819706082344055,0.42098161578178406,0.5153043866157532,0.4479612410068512,0.006159223150461912,0.046170417219400406,0.04210356995463371,41.60908126831055,-18.23435401916504,2.3461496829986572,363.1458740234375,36.65627670288086,214.41012573242188,0.5029410123825073,7982708.0,44985708.0,0.04709131270647049,1.2178839501107364e+18,7.034732569115492e+18
101_img_.png,0.397722065448761,0.6142216324806213,0.4400177597999573,0.019598692655563354,0.038996629416942596,0.03644605726003647,0.35770362615585327,0.3821851313114166,0.6142216324806213,0.0016288452316075563,0.006047369912266731,0.038996629416942596,59.30933380126953,-27.586830139160156,17.808570861816406,336.23516845703125,23.5743350982666,23.072607040405273,0.6376323699951172,64485400.0,39285.50390625,0.003453471465036273,2.606253775177908e+18,154055091421184.0
102_img_.png,0.11878236383199692,0.448295921087265,0.35975345969200134,0.019881542772054672,0.09535717219114304,0.06464345008134842,0.4635511636734009,0.7505971193313599,0.4485307037830353,0.0009682190720923245,0.02732953056693077,0.09517057985067368,41.41300582885742,-28.72212028503418,5.294792175292969,828.5497436523438,251.8162384033203,23.740537643432617,0.2534753382205963,1.2287111282348633,1582713600.0,0.03140778839588165,0.017397595569491386,3.999135600141287e+20
104_img_.png,0.16269031167030334,0.4769337475299835,0.6526494026184082,0.01285858079791069,0.01576072722673416,0.01548427902162075,0.5645474195480347,0.7456424236297607,0.6535312533378601,0.0011635086266323924,0.026408322155475616,0.0152440769597888,48.441993713378906,-7.028322219848633,-30.389232635498047,129.2543182373047,136.24249267578125,101.6346435546875,162091.859375,1150327.5,3468319232.0,1.970521546476749e+16,3.412418174564434e+17,2.162915645539557e+21
105_img_.png,0.1031486988067627,0.5733357071876526,0.29140621423721313,0.011930939741432667,0.023517129942774773,0.02309976890683174,0.3959042727947235,0.8470877408981323,0.5733356475830078,0.0008595081162638962,0.01956886239349842,0.023517129942774773,53.103023529052734,-46.986595153808594,29.216049194335938,193.0505828857422,33.294532775878906,39.53408432006836,0.15454846620559692,1899922.75,34434097152.0,0.020474158227443695,6.40753938823381e+17,6.92925077157122e+21
106_img_.png,0.17514555156230927,0.2591995596885681,0.32202738523483276,0.03001541458070278,0.014920834451913834,0.015887539833784103,0.45388826727867126,0.5834192037582397,0.34746354818344116,0.055534929037094116,0.09509772062301636,0.015695199370384216,27.211618423461914,0.11978686600923538,-11.381632804870605,178.55288696289062,22.874879837036133,217.19589233398438,89275112.0,67795600.0,10113012736.0,4.581290844111241e+18,3.2470670189097124e+18,3.685096853743719e+21
107_img_.png,0.018445882946252823,0.44682297110557556,0.6956789493560791,0.0016476124292239547,0.02607249841094017,0.048869725316762924,0.5615002512931824,0.9748857617378235,0.6956825852394104,0.0001511684531578794,0.001981629990041256,0.04886544868350029,45.499290466308594,-2.4495513439178467,-40.70363998413086,249.6288299560547,56.396278381347656,128.80459594726562,0.036166317760944366,0.6391333937644958,197053153280.0,0.003353979205712676,0.0060568987391889095,1.0739211613833647e+23
108_img_.png,0.4169675409793854,0.6628487706184387,0.7086935043334961,0.00870512519031763,0.01914370432496071,0.018936404958367348,0.525282621383667,0.415987104177475,0.7111479640007019,0.00727042555809021,0.00524667976424098,0.01781230792403221,65.35354614257812,-16.6658878326416,-12.24104118347168,170.56822204589844,34.935569763183594,16.231714248657227,1039126.0625,124244.1875,22476734.0,3.835709020019098e+16,2701887958679552.0,3.441010699566842e+18
